County	Senate_R	Senate_D	Gov_R	Gov_D	LtGov_R	LtGov_D	AG_R	AG_D	area_(mi^2)	pop	Total_Male	Total_Female	Anglo_Total	Anglo_Male	Anglo_Female	Black_Total	Black_Male	Black_Female	Other_Total
Nolan	3116	927	3196	806	2894	1059	2985	957	906	14545	7314	7231	8395	4235	4160	668	336	332	251
Nueces	45875	47265	52827	39614	45544	45179	45000	45382	933	361556	178610	182946	105615	53034	52581	12548	6494	6054	12336
Ochiltree	2158	229	2166	212	1949	394	2072	267	586	10742	5557	5185	4563	2280	2283	16	6	10	170
Oldham	732	82	742	62	619	174	698	97	922	2068	1066	1002	1709	882	827	52	25	27	47
Orange	21156	5045	21716	4342	20583	5213	20648	5066	890	84219	42186	42033	67407	33630	33777	7435	3604	3831	2962
Palo_Pinto	7490	1817	7752	1512	7292	1874	7276	1865	794	28600	14171	14429	21499	10553	10946	632	340	292	595
Panola	7120	1598	7182	1494	6545	2043	6947	1646	992	24145	12094	12051	17340	8659	8681	3914	1888	2026	505
Parker	43994	9926	45902	8074	43670	9791	43291	9778	1522	132602	66117	66485	107921	52875	55046	2100	1465	635	4113
Parmer	1674	372	1679	352	1520	486	1608	391	2808	9882	5150	4732	3261	1644	1617	115	57	58	63
Pecos	2157	1336	2294	1165	2035	1314	2066	1284	1036	15908	8926	6982	4080	2434	1646	513	481	32	233
Polk	12735	3827	13068	3359	12358	3968	12369	3894	1462	48271	25918	22353	33790	17456	16334	5466	3359	2107	1778
Potter	16630	7494	17238	6652	16327	7276	16360	7190	830	123622	63616	60006	53718	26749	26969	12107	6983	5124	9304
Presidio	406	1172	465	1149	432	1132	416	1131	678	7518	3675	3843	1086	585	501	23	16	7	120
Rains	3424	587	3514	491	3361	607	3330	617	1247	11249	5562	5687	9776	4779	4997	227	121	106	294
Randall	37767	9324	38838	7829	36470	9561	36990	9019	903	133520	65027	68493	96997	46718	50279	3429	1912	1517	5481
Reagan	692	136	697	127	621	191	662	142	915	3685	1948	1737	1218	601	617	69	41	28	30
Real	1311	245	1341	213	1279	257	1090	235	1501	3462	1707	1755	2445	1192	1253	20	11	9	76
