name, g, bp-rp, mem
607997120905720320, 15.116,  0.833, N
608129298524124544, 18.824,  1.491, N
608047281828429824, 18.977,  2.060, N
608031098392262528, 19.423,  0.752, N
608129951359162624, 18.247,  1.682, N
608029517843600000, 18.976,  1.720, N
608132906296663936, 18.586,  2.044, N
608049858809405568, 14.522,  0.948, N
608004778831676416, 17.656,  2.174, N
598855433341627008, 19.745,  1.980, N
598656391670590848, 13.176,  0.753, N
598852615841234432, 18.549,  2.260, N
598655670116086784, 19.448,  2.179, N
598647419483642624, 18.135,  2.157, N
598870654704242176, 19.594,  2.372, N
598685077757938048, 15.968,  1.220, N
598648725157782272, 19.792,  2.166, N
598590966433230848, 18.518,  1.027, N
598642471681347456, 16.450,  0.943, N
598638249728732288, 19.374,  1.936, N
598606810568184192, 16.961,  0.896, N
598852375323059200, 16.067,  0.861, N
598655459662521728, 17.215,  1.616, N
598660613623493760, 19.802,  2.319, N
598846637246747008, 18.368,  0.950, N
598840211975628928, 16.581,  0.898, N
598859419069794048, 19.533,  2.816, N
598655700180664960, 19.621,  1.759, N
598652199782550400, 15.812,  0.758, N
598619076994785536, 14.615,  0.863, N
598590176159243520, 18.370,  1.491, N
598612789162677120, 16.554,  1.134, N
598845267152499840, 19.025,  1.700, N
598865745556564096, 17.574,  1.278, N
598679103456955520, 18.774,  2.273, N
598672536452536576, 18.843,  1.116, N
598655326518716672, 18.692,  0.715, N
598642918357960832, 15.983,  1.243, N
598626597482353024, 16.913,  1.244, N
598618492879239168, 16.169,  0.938, N
598611857154185856, 17.406,  1.099, N
598872681928527872, 19.616,  0.791, N
598625085653833216, 19.737,  2.127, N
598853543554176384, 19.003,  1.820, N
598667691729381120, 19.312,  1.955, N
598623475041136512, 15.941,  1.459, N
598872102108156160, 14.773,  0.939, N
598865024002053248, 18.044,  1.229, N
598859384709625088, 14.519,  0.923, N
598680512206902912, 19.610,  0.978, N
598687139341394560, 16.989,  1.097, N
598869108515688960, 16.640,  0.790, N
598872445705541760, 17.508,  2.260, N
598844987980664832, 19.391,  2.653, N
598606943711882112, 17.593,  1.396, N
598854716080533504, 18.040,  0.882, N
598681573063740928, 19.392,  1.418, N
598673571539670272, 15.667,  1.492, N
598681061962730368, 19.964,  2.437, N
598868150738237056, 16.703,  1.434, N
598652573444461440, 19.523,  1.933, N
598689136501182208, 17.162,  1.465, N
