name, g, bp-rp, mem
604963087288739584, 14.602,  0.990, Y
604920275054845824, 14.426,  0.880, Y
604987139105593344, 16.043,  1.273, Y
604988612278594048, 17.290,  1.733, Y
604929620903657856, 19.235,  2.235, Y
604995278068254208, 18.840,  2.117, Y
604938447060218112, 12.633,  0.732, Y
604910443873993600, 13.291,  0.756, Y
604918380975179520, 18.366,  2.183, Y
604933018221557120, 14.643,  0.892, Y
604970676495561088, 17.977,  1.997, Y
604890038485174912, 14.454,  0.862, Y
604911096708974080, 14.437,  1.007, Y
598904842643466240, 15.072,  0.983, Y
598906251392995968, 18.721,  2.438, Y
598888109451094912, 19.062,  2.264, Y
598905667277445376, 18.276,  2.016, Y
598901995080469888, 15.204,  1.217, Y
598955660696788736, 18.197,  2.018, Y
598893954901717248, 12.614,  0.730, Y
598899997920577664, 18.487,  2.119, Y
604713017112350592, 16.455,  1.409, Y
604705969071060224, 12.733,  0.714, Y
604981847705911680, 15.338,  1.059, Y
605002600987738496, 17.347,  2.131, Y
604895810921215744, 16.503,  1.435, Y
604949961868553856, 15.412,  1.080, Y
604921718163730560, 13.883,  0.869, Y
604917594995372544,  9.918,  1.412, Y
604914880575997056, 16.386,  1.389, Y
604989372488540416, 12.509,  0.861, Y
604909692255500544, 16.979,  1.585, Y
604969340761109760, 14.833,  1.077, Y
605004387694123136, 13.593,  0.751, Y
604903198264917504, 14.429,  1.022, Y
604918041671889792, 12.682,  0.663, Y
604974322923167488, 13.715,  0.753, Y
604971058748016384, 13.311,  0.751, Y
604904229057064320, 16.365,  1.510, Y
604922435422864512, 17.450,  2.245, Y
605015279731223552, 18.234,  2.227, Y
605000745561898240, 15.929,  1.217, Y
604916529843405696, 14.723,  1.074, Y
604969615639180416, 14.404,  0.860, Y
604912471098638720, 15.478,  1.089, Y
604917938592657024, 14.779,  0.933, Y
604924290848519168, 12.051,  1.160, Y
604898972017070592, 15.919,  1.212, Y
604899831010539904, 13.304,  0.754, Y
604920202039656064, 10.206,  1.244, Y
604948278241425152, 14.447,  0.868, Y
604920653012016896, 15.453,  1.061, Y
604969267746267520, 17.269,  1.690, Y
604914189085426560, 12.591,  0.666, Y
604997240868589824, 17.908,  1.938, Y
604947621110416640, 16.307,  1.614, Y
604918591427681024, 10.866,  0.281, Y
604909310002693632, 17.813,  1.966, Y
604903713660959488, 10.639,  0.144, Y
604899178175495168, 15.501,  1.190, Y
604906428080283776, 14.554,  0.897, Y
604998404803662080, 13.531,  0.757, Y
604915292892687744, 15.271,  1.035, Y
604922748956025216, 12.017,  1.172, Y
604917487620477056, 15.459,  1.309, Y
604918900665306112, 18.559,  2.241, Y
604988204257490176, 16.586,  1.433, Y
604917835513458816, 15.571,  1.100, Y
604961021408999808, 17.654,  1.862, Y
604890927542618112, 18.680,  2.051, Y
604906840397139584, 17.788,  1.959, Y
604948759277929984, 19.451,  2.431, Y
604933125596954240, 14.789,  0.931, Y
604970508992220288, 15.480,  1.098, Y
604930445537381632, 14.844,  0.956, Y
604899453053404160, 13.064,  0.766, Y
604903468852379904, 12.586,  0.747, Y
598890381488889088, 14.012,  0.797, Y
598898073775010816, 13.372,  0.733, Y
598907179105947520, 19.255,  2.223, Y
598885738628962432, 13.410,  0.759, Y
604711500989123584, 16.673,  1.527, Y
604704560321786368, 12.689,  0.710, Y
604907592015745792, 15.370,  1.280, Y
604946835132357120, 13.123,  0.757, Y
604973635728426752, 14.868,  0.944, Y
604909142499704704, 15.155,  1.018, Y
604921821242942464, 13.713,  0.765, Y
604966454543134720, 16.343,  1.371, Y
604920824810533376, 13.445,  0.757, Y
604905633510610048, 14.707,  0.916, Y
604922817675316096, 14.981,  0.983, Y
604910001493155584, 12.614,  0.933, Y
604962743691561472, 16.497,  1.410, Y
604909726615246080, 14.342,  0.832, Y
604990368920963456, 15.027,  0.988, Y
604971402345381120, 13.630,  0.758, Y
604916697346488960, 17.655,  1.794, Y
604892306227881856, 15.591,  1.128, Y
604969306401373952, 16.954,  1.602, Y
604968236953708416, 19.237,  2.373, Y
604897047871749376, 12.550,  0.759, Y
604921408926071424, 14.837,  0.937, Y
604922164840316416, 15.988,  1.512, Y
604920584292552832, 13.644,  0.773, Y
604903232624649344, 13.223,  0.768, Y
604895428668355200, 18.066,  2.260, Y
604920030241180672, 16.337,  1.405, Y
604897288389930880, 17.853,  2.073, Y
604916598562883456, 17.762,  2.111, Y
605000401964512896, 16.419,  1.409, Y
604997172149101312, 16.789,  1.576, Y
605005418486272896, 14.057,  0.821, Y
604920756091231744, 10.845,  1.249, Y
604903576222015488, 16.105,  1.279, Y
604922886394970240, 16.921,  1.566, Y
604924393927734528, 12.620,  0.926, Y
604918316549769728, 13.829,  0.780, Y
604906599878984832, 15.741,  1.323, Y
604907076619776640, 16.590,  1.475, Y
604899826720145024, 14.880,  0.961, Y
604948686262313984, 18.716,  2.182, Y
604977587098272768, 13.217,  0.718, Y
604962984209526400, 14.784,  1.041, Y
604917934296938240, 12.418,  0.770, Y
604929655263400832, 19.417,  2.371, Y
604891923975026816, 13.078,  0.741, Y
604891992694503040, 13.603,  0.746, Y
604976208413473792, 18.020,  2.261, Y
604894917568011520, 18.391,  2.126, Y
604916048806915200, 15.988,  1.506, Y
604944086353518592, 13.864,  0.792, Y
604915739569261184, 12.556,  0.926, Y
598694939001774976, 13.923,  0.783, Y
598890106610992256, 16.636,  1.612, Y
598890106610992896, 16.020,  1.247, Y
604703052788343296, 12.250,  1.146, Y
604709546778878208, 18.769,  2.136, Y
604701953276603520, 12.977,  0.760, Y
604711505283863808, 17.586,  2.112, Y
604701128643010816, 13.153,  0.740, Y
604913952863074688, 13.460,  0.823, Y
604909898413942656, 15.338,  1.176, Y
604910546953207680, 14.020,  0.863, Y
604910688687928576, 13.370,  0.734, Y
604922027401374080, 16.353,  1.382, Y
604909657895767680, 13.589,  0.748, Y
604917659419033600, 13.106,  0.753, Y
604914777496782720, 13.371,  0.782, Y
604911547681374976, 17.520,  1.814, Y
604917899937362048, 17.865,  1.894, Y
604896837417607808, 13.054,  0.753, Y
